# Enigma Machine Simulation Configuration
date,2021-12-18
unk,X
len,26
# alphabet,list-idx,char
abc,0,A
abc,1,B
abc,2,C
abc,3,D
abc,4,E
abc,5,F
abc,6,G
abc,7,H
abc,8,I
abc,9,J
abc,10,K
abc,11,L
abc,12,M
abc,13,N
abc,14,O
abc,15,P
abc,16,Q
abc,17,R
abc,18,S
abc,19,T
abc,20,U
abc,21,V
abc,22,W
abc,23,X
abc,24,Y
abc,25,Z
# rotor-name,in-list-idx,out-list-idx,in-char,out-char
I,0,1,A,B
I,1,19,B,T
I,2,13,C,N
I,3,16,D,Q
I,4,9,E,J
I,5,3,F,D
I,6,4,G,E
I,7,23,H,X
I,8,18,I,S
I,9,21,J,V
I,10,0,K,A
I,11,7,L,H
I,12,5,M,F
I,13,12,N,M
I,14,2,O,C
I,15,24,P,Y
I,16,11,Q,L
I,17,25,R,Z
I,18,20,S,U
I,19,6,T,G
I,20,17,U,R
I,21,14,V,O
I,22,8,W,I
I,23,15,X,P
I,24,22,Y,W
I,25,10,Z,K
# rotor-name,in-list-idx,out-list-idx,in-char,out-char
II,0,24,A,Y
II,1,9,B,J
II,2,20,C,U
II,3,10,D,K
II,4,8,E,I
II,5,4,F,E
II,6,13,G,N
II,7,5,H,F
II,8,18,I,S
II,9,12,J,M
II,10,19,K,T
II,11,14,L,O
II,12,22,M,W
II,13,1,N,B
II,14,23,O,X
II,15,0,P,A
II,16,3,Q,D
II,17,21,R,V
II,18,6,S,G
II,19,11,T,L
II,20,17,U,R
II,21,16,V,Q
II,22,25,W,Z
II,23,15,X,P
II,24,7,Y,H
II,25,2,Z,C
# rotor-name,in-list-idx,out-list-idx,in-char,out-char
III,0,22,A,W
III,1,25,B,Z
III,2,11,C,L
III,3,10,D,K
III,4,0,E,A
III,5,19,F,T
III,6,12,G,M
III,7,14,H,O
III,8,7,I,H
III,9,3,J,D
III,10,20,K,U
III,11,1,L,B
III,12,18,M,S
III,13,23,N,X
III,14,16,O,Q
III,15,21,P,V
III,16,17,Q,R
III,17,9,R,J
III,18,8,S,I
III,19,24,T,Y
III,20,13,U,N
III,21,5,V,F
III,22,15,W,P
III,23,4,X,E
III,24,2,Y,C
III,25,6,Z,G
# rotor-name,in-list-idx,out-list-idx,in-char,out-char
IV,0,16,A,Q
IV,1,17,B,R
IV,2,9,C,J
IV,3,8,D,I
IV,4,23,E,X
IV,5,22,F,W
IV,6,21,G,V
IV,7,24,H,Y
IV,8,14,I,O
IV,9,11,J,L
IV,10,18,K,S
IV,11,3,L,D
IV,12,6,M,G
IV,13,19,N,T
IV,14,10,O,K
IV,15,13,P,N
IV,16,4,Q,E
IV,17,20,R,U
IV,18,15,S,P
IV,19,0,T,A
IV,20,25,U,Z
IV,21,2,V,C
IV,22,1,W,B
IV,23,5,X,F
IV,24,12,Y,M
IV,25,7,Z,H
# rotor-name,in-list-idx,out-list-idx,in-char,out-char
V,0,9,A,J
V,1,16,B,Q
V,2,23,C,X
V,3,14,D,O
V,4,5,E,F
V,5,2,F,C
V,6,4,G,E
V,7,1,H,B
V,8,21,I,V
V,9,8,J,I
V,10,11,K,L
V,11,6,L,G
V,12,25,M,Z
V,13,15,N,P
V,14,7,O,H
V,15,0,P,A
V,16,18,Q,S
V,17,12,R,M
V,18,17,S,R
V,19,10,T,K
V,20,22,U,W
V,21,19,V,T
V,22,24,W,Y
V,23,20,X,U
V,24,3,Y,D
V,25,13,Z,N
# rotor-name,in-list-idx,out-list-idx,in-char,out-char
VI,0,10,A,K
VI,1,25,B,Z
VI,2,8,C,I
VI,3,12,D,M
VI,4,15,E,P
VI,5,7,F,H
VI,6,24,G,Y
VI,7,17,H,R
VI,8,18,I,S
VI,9,3,J,D
VI,10,22,K,W
VI,11,20,L,U
VI,12,21,M,V
VI,13,16,N,Q
VI,14,11,O,L
VI,15,0,P,A
VI,16,2,Q,C
VI,17,19,R,T
VI,18,6,S,G
VI,19,14,T,O
VI,20,13,U,N
VI,21,23,V,X
VI,22,9,W,J
VI,23,1,X,B
VI,24,4,Y,E
VI,25,5,Z,F
# rotor-name,in-list-idx,out-list-idx,in-char,out-char
VII,0,3,A,D
VII,1,23,B,X
VII,2,10,C,K
VII,3,4,D,E
VII,4,8,E,I
VII,5,16,F,Q
VII,6,21,G,V
VII,7,24,H,Y
VII,8,5,I,F
VII,9,0,J,A
VII,10,22,K,W
VII,11,15,L,P
VII,12,18,M,S
VII,13,9,N,J
VII,14,17,O,R
VII,15,7,P,H
VII,16,14,Q,O
VII,17,12,R,M
VII,18,2,S,C
VII,19,1,T,B
VII,20,25,U,Z
VII,21,20,V,U
VII,22,6,W,G
VII,23,11,X,L
VII,24,13,Y,N
VII,25,19,Z,T
# rotor-name,in-list-idx,out-list-idx,in-char,out-char
VIII,0,15,A,P
VIII,1,23,B,X
VIII,2,1,C,B
VIII,3,20,D,U
VIII,4,2,E,C
VIII,5,21,F,V
VIII,6,22,G,W
VIII,7,17,H,R
VIII,8,18,I,S
VIII,9,7,J,H
VIII,10,9,K,J
VIII,11,25,L,Z
VIII,12,8,M,I
VIII,13,12,N,M
VIII,14,19,O,T
