# Enigma Machine Simulation Configuration
date,2021-12-18
unk,X
len,44
# alphabet,list-idx,char
abc,0,A
abc,1,B
abc,2,C
abc,3,D
abc,4,E
abc,5,F
abc,6,G
abc,7,H
abc,8,I
abc,9,J
abc,10,K
abc,11,L
abc,12,M
abc,13,N
abc,14,O
abc,15,P
abc,16,Q
abc,17,R
abc,18,S
abc,19,T
abc,20,U
abc,21,V
abc,22,W
abc,23,X
abc,24,Y
abc,25,Z
abc,26,1
abc,27,2
abc,28,3
abc,29,4
abc,30,5
abc,31,6
abc,32,7
abc,33,8
abc,34,9
abc,35,0
abc,36,.
abc,37,=
abc,38,+
abc,39,-
abc,40,/
abc,41,*
abc,42,(
abc,43,)
# rotor-name,in-list-idx,out-list-idx,in-char,out-char
I,0,6,A,G
I,1,42,B,(
I,2,34,C,9
I,3,35,D,0
I,4,33,E,8
I,5,15,F,P
I,6,11,G,L
I,7,10,H,K
I,8,21,I,V
I,9,1,J,B
I,10,9,K,J
I,11,13,L,N
I,12,38,M,+
I,13,3,N,D
I,14,0,O,A
I,15,29,P,4
I,16,23,Q,X
I,17,30,R,5
I,18,40,S,/
I,19,37,T,=
I,20,8,U,I
I,21,16,V,Q
I,22,39,W,-
I,23,22,X,W
I,24,17,Y,R
I,25,18,Z,S
I,26,14,1,O
I,27,25,2,Z
I,28,27,3,2
I,29,26,4,1
I,30,28,5,3
I,31,2,6,C
I,32,7,7,H
I,33,36,8,.
I,34,19,9,T
I,35,20,0,U
I,36,31,.,6
I,37,32,=,7
I,38,5,+,F
I,39,24,-,Y
I,40,43,/,)
I,41,4,*,E
I,42,12,(,M
I,43,41,),*
# rotor-name,in-list-idx,out-list-idx,in-char,out-char
II,0,14,A,O
II,1,9,B,J
II,2,42,C,(
II,3,25,D,Z
II,4,17,E,R
II,5,16,F,Q
II,6,12,G,M
II,7,30,H,5
II,8,4,I,E
II,9,27,J,2
II,10,33,K,8
II,11,39,L,-
II,12,32,M,7
II,13,36,N,.
II,14,2,O,C
II,15,37,P,=
II,16,3,Q,D
II,17,18,R,S
II,18,38,S,+
II,19,23,T,X
II,20,21,U,V
II,21,19,V,T
II,22,20,W,U
II,23,35,X,0
II,24,22,Y,W
II,25,7,Z,H
II,26,10,1,K
II,27,24,2,Y
II,28,5,3,F
II,29,15,4,P
II,30,13,5,N
II,31,41,6,*
II,32,34,7,9
II,33,40,8,/
II,34,29,9,4
II,35,28,0,3
II,36,6,.,G
II,37,31,=,6
II,38,26,+,1
II,39,43,-,)
II,40,0,/,A
II,41,11,*,L
II,42,1,(,B
II,43,8,),I
# rotor-name,in-list-idx,out-list-idx,in-char,out-char
III,0,7,A,H
III,1,6,B,G
III,2,5,C,F
III,3,19,D,T
III,4,12,E,M
III,5,21,F,V
III,6,9,G,J
III,7,4,H,E
III,8,30,I,5
III,9,29,J,4
III,10,40,K,/
III,11,0,L,A
III,12,31,M,6
III,13,2,N,C
III,14,15,O,P
III,15,16,P,Q
III,16,33,Q,8
III,17,25,R,Z
III,18,22,S,W
III,19,34,T,9
III,20,32,U,7
III,21,41,V,*
III,22,24,W,Y
III,23,13,X,N
III,24,43,Y,)
III,25,38,Z,+
III,26,23,1,X
III,27,17,2,R
III,28,3,3,D
III,29,20,4,U
III,30,1,5,B
III,31,27,6,2
III,32,11,7,L
III,33,8,8,I
III,34,14,9,O
III,35,37,0,=
III,36,42,.,(
III,37,18,=,S
III,38,39,+,-
III,39,35,-,0
III,40,26,/,1
III,41,28,*,3
III,42,10,(,K
III,43,36,),.
# rotor-name,in-list-idx,out-list-idx,in-char,out-char
IV,0,9,A,J
IV,1,27,B,2
IV,2,7,C,H
IV,3,14,D,O
IV,4,26,E,1
IV,5,13,F,N
IV,6,11,G,L
IV,7,42,H,(
IV,8,0,I,A
IV,9,29,J,4
IV,10,41,K,*
IV,11,43,L,)
IV,12,5,M,F
IV,13,22,N,W
IV,14,10,O,K
IV,15,33,P,8
IV,16,37,Q,=
IV,17,19,R,T
IV,18,6,S,G
IV,19,40,T,/
IV,20,8,U,I
IV,21,28,V,3
IV,22,38,W,+
IV,23,16,X,Q
IV,24,21,Y,V
IV,25,34,Z,9
IV,26,15,1,P
IV,27,12,2,M
IV,28,1,3,B
IV,29,3,4,D
IV,30,2,5,C
IV,31,4,6,E
IV,32,39,7,-
IV,33,18,8,S
IV,34,31,9,6
IV,35,20,0,U
IV,36,25,.,Z
IV,37,32,=,7
IV,38,30,+,5
IV,39,35,-,0
IV,40,24,/,Y
IV,41,36,*,.
IV,42,23,(,X
IV,43,17,),R
# rotor-name,in-list-idx,out-list-idx,in-char,out-char
V,0,10,A,K
V,1,40,B,/
V,2,12,C,M
V,3,41,D,*
V,4,15,E,P
V,5,36,F,.
V,6,3,G,D
V,7,22,H,W
V,8,13,I,N
V,9,31,J,6
V,10,16,K,Q
V,11,39,L,-
V,12,42,M,(
V,13,37,N,=
V,14,34,O,9
V,15,38,P,+
V,16,7,Q,H
V,17,14,R,O
V,18,11,S,L
V,19,6,T,G
V,20,8,U,I
V,21,17,V,R
V,22,20,W,U
V,23,29,X,4
V,24,30,Y,5
V,25,2,Z,C
V,26,43,1,)
V,27,1,2,B
V,28,32,3,7
V,29,0,4,A
V,30,19,5,T
V,31,25,6,Z
V,32,9,7,J
V,33,23,8,X
V,34,24,9,Y
V,35,4,0,E
V,36,35,.,0
V,37,28,=,3
V,38,33,+,8
V,39,27,-,2
V,40,5,/,F
V,41,26,*,1
V,42,21,(,V
V,43,18,),S
# rotor-name,in-list-idx,out-list-idx,in-char,out-char
VI,0,31,A,6
VI,1,27,B,2
VI,2,36,C,.
VI,3,25,D,Z
VI,4,14,E,O
VI,5,16,F,Q
VI,6,5,G,F
VI,7,42,H,(
VI,8,2,I,C
VI,9,18,J,S
VI,10,13,K,N
VI,11,1,L,B
VI,12,3,M,D
VI,13,22,N,W
VI,14,19,O,T
VI,15,8,P,I
VI,16,23,Q,X
VI,17,41,R,*
VI,18,11,S,L
VI,19,33,T,8
VI,20,15,U,P
VI,21,32,V,7
VI,22,43,W,)
VI,23,29,X,4
VI,24,20,Y,U
VI,25,37,Z,=
VI,26,39,1,-
VI,27,30,2,5
VI,28,9,3,J
VI,29,7,4,H
VI,30,40,5,/
VI,31,24,6,Y
VI,32,35,7,0
VI,33,28,8,3
VI,34,17,9,R
VI,35,12,0,M
VI,36,26,.,1
VI,37,4,=,E
VI,38,0,+,A
VI,39,10,-,K
VI,40,6,/,G
VI,41,21,*,V
VI,42,38,(,+
VI,43,34,),9
# rotor-name,in-list-idx,out-list-idx,in-char,out-char
VII,0,21,A,V
VII,1,28,B,3
VII,2,35,C,0
VII,3,30,D,5
VII,4,14,E,O
VII,5,8,F,I
VII,6,31,G,6
VII,7,4,H,E
VII,8,34,I,9
VII,9,25,J,Z
VII,10,37,K,=
VII,11,41,L,*
VII,12,16,M,Q
VII,13,22,N,W
VII,14,20,O,U
VII,15,23,P,X
VII,16,6,Q,G
VII,17,29,R,4
VII,18,39,S,-
VII,19,15,T,P
VII,20,43,U,)
VII,21,26,V,1
VII,22,24,W,Y
VII,23,38,X,+
VII,24,1,Y,B
VII,25,5,Z,F
VII,26,33,1,8
VII,27,32,2,7
VII,28,9,3,J
VII,29,36,4,.
VII,30,7,5,H
VII,31,2,6,C
VII,32,12,7,M
VII,33,3,8,D
VII,34,40,9,/
VII,35,42,0,(
VII,36,0,.,A
VII,37,19,=,T
VII,38,18,+,S
VII,39,11,-,L
VII,40,17,/,R
VII,41,13,*,N
VII,42,10,(,K
VII,43,27,),2
# rotor-name,in-list-idx,out-list-idx,in-char,out-char
VIII,0,38,A,+
VIII,1,19,B,T
VIII,2,27,C,2
VIII,3,24,D,Y
VIII,4,26,E,1
VIII,5,30,F,5
VIII,6,16,G,Q
VIII,7,15,H,P
VIII,8,4,I,E
VIII,9,32,J,7
VIII,10,25,K,Z
VIII,11,28,L,3
VIII,12,11,M,L
VIII,13,31,N,6
VIII,14,33,O,8
VIII,15,2,P,C
VIII,16,8,Q,I
VIII,17,1,R,B
VIII,18,21,S,V
VIII,19,39,T,-
VIII,20,9,U,J
VIII,21,20,V,U
VIII,22,18,W,S
VIII,23,43,X,)
VIII,24,13,Y,N
VIII,25,17,Z,R
VIII,26,41,1,*
VIII,27,35,2,0
VIII,28,34,3,9
VIII,29,7,4,H
VIII,30,29,5,4
VIII,31,6,6,G
VIII,32,36,7,.
VIII,33,42,8,(
VIII,34,23,9,X
VIII,35,0,0,A
VIII,36,40,.,/
VIII,37,5,=,F
VIII,38,3,+,D
VIII,39,14,-,O
VIII,40,12,/,M
VIII,41,10,*,K
VIII,42,22,(,W
VIII,43,37,),=
# reflector,in-list-idx,out-list-idx,in-char,out-char
ref,0,7,A,H
ref,1,3,B,D
ref,2,38,C,+
ref,3,1,D,B
ref,4,41,E,*
ref,5,18,F,S
ref,6,27,G,2
ref,7,0,H,A
ref,8,26,I,1
ref,9,17,J,R
ref,10,19,K,T
ref,11,33,L,8
ref,12,25,M,Z
ref,13,14,N,O
ref,14,13,O,N
ref,15,34,P,9
ref,16,42,Q,(
ref,17,9,R,J
ref,18,5,S,F
ref,19,10,T,K
ref,20,36,U,.
ref,21,40,V,/
ref,22,28,W,3
ref,23,43,X,)
ref,24,35,Y,0
ref,25,12,Z,M
ref,26,8,1,I
ref,27,6,2,G
ref,28,22,3,W
ref,29,31,4,6
ref,30,32,5,7
ref,31,29,6,4
ref,32,30,7,5
ref,33,11,8,L
ref,34,15,9,P
ref,35,24,0,Y
ref,36,20,.,U
ref,37,39,=,-
ref,38,2,+,C
ref,39,37,-,=
ref,40,21,/,V
ref,41,4,*,E
ref,42,16,(,Q
ref,43,23,),X
# plugboard,char-pair
plug,AC
plug,BD
